topic_id,0,1,2,3,4,5,6,7,8,9,label,doc_weight_sum
0,word,hand,room,words,thought,heart,attention,family,way,kind,0 word hand room words thought heart attention,661.4663645068332
1,fellow,book,man,life,eyes,love,head,way,chair,things,1 fellow book man life eyes love head,553.858164123688
2,cock,nay,ha,deal,time,things,good,aye,people,kind,2 cock nay ha deal time things good,594.8413037136781
3,father,sister,aunt,time,money,life,family,sense,man,love,3 father sister aunt time money life family,824.6637135807254
4,sea,ship,sight,face,air,glance,officer,time,ships,eyes,4 sea ship sight face air glance officer,608.2012418148148
5,letter,said,uncle,eyes,moment,face,time,hand,day,countenance,5 letter said uncle eyes moment face time,706.8576318942985
6,time,thing,body,friend,family,daughter,things,day,party,idea,6 time thing body friend family daughter things,709.8974570601523
7,wife,table,thing,mother,sister,daughters,did,everybody,time,day,7 wife table thing mother sister daughters did,649.0519640483045
8,life,man,person,family,marriage,fact,consequence,mind,love,time,8 life man person family marriage fact consequence,561.979754839238
9,man,woman,feelings,love,people,husband,sense,eyes,men,wife,9 man woman feelings love people husband sense,611.2646271483944
10,sister,time,letter,feelings,change,brother,place,father,business,family,10 sister time letter feelings change brother place,825.5401693819279
11,home,mother,room,time,house,way,husband,men,evening,society,11 home mother room time house way husband,648.8676183120202
12,eyes,child,mother,face,hand,man,arm,way,house,tree,12 eyes child mother face hand man arm,583.2560937914618
13,don,children,father,man,mother,world,boy,people,things,care,13 don children father man mother world boy,699.0009171368993
14,day,work,home,man,things,money,father,life,people,time,14 day work home man things money father,591.4729141714433
15,life,morning,time,hand,room,strength,days,man,sense,mind,15 life morning time hand room strength days,588.591294775794
16,time,day,way,horse,mind,morning,home,house,days,spirits,16 time day way horse mind morning home,517.0136731140851
17,come,day,course,men,knowledge,poor,house,friend,mind,year,17 come day course men knowledge poor house,521.5439032701956
18,father,brother,time,way,question,power,feeling,liberty,sister,right,18 father brother time way question power feeling,523.4819711729734
19,thee,man,day,door,thank,eyes,paper,time,evening,way,19 thee man day door thank eyes paper,622.4713066990098
20,mind,voice,man,moment,words,hands,silence,moments,woman,ye,20 mind voice man moment words hands silence,663.660837576565
21,sir,man,anybody,house,time,reason,em,way,mind,money,21 sir man anybody house time reason em,563.4344042353495
22,yes,oh,thing,sort,difference,things,dear,smile,time,way,22 yes oh thing sort difference things dear,770.0857778351117
23,ve,mr,day,voice,nonsense,help,way,truth,love,ticking,23 ve mr day voice nonsense help way,532.5815354936868
24,chimney,door,house,way,wife,head,half,night,room,morning,24 chimney door house way wife head half,706.1987674251236
25,ll,time,ah,house,head,day,glass,sure,way,box,25 ll time ah house head day glass,712.3135740502846
26,thing,way,words,carriage,time,girls,away,better,man,pleasure,26 thing way words carriage time girls away,616.547246119635
27,time,way,man,school,home,men,lady,master,manner,hand,27 time way man school home men lady,509.937246885396
28,man,way,bit,eh,hands,news,mind,things,folks,money,28 man way bit eh hands news mind,624.4922188895385
29,dear,man,girl,sort,thing,heart,wife,day,question,course,29 dear man girl sort thing heart wife,675.4263069320476
